source,target,tgt_lng
front neck drop,前领深,zh
back neck drop,后领深,zh
branded metal trim,品牌金属辅料,zh
soft peached hand feel,桃皮手感,zh
enzyme wash,酵素洗,zh
garment dye,成衣染色,zh
shell: 100% cotton,面料：100%棉,zh
shell: 100% organic cotton,面料：100%有机棉,zh
shell: 100% polyester,面料：100%涤纶,zh
shell: 65% polyester 35% cotton,面料：65%涤纶 35%棉,zh
shell: 60% cotton 40% polyester,面料：60%棉 40%涤纶,zh
shell: 95% cotton 5% spandex,面料：95%棉 5%氨纶,zh
shell: 95% cotton 5% elastane,面料：95%棉 5%氨纶,zh
shell: 92% polyester 8% spandex,面料：92%涤纶 8%氨纶,zh
shell: 90% nylon 10% spandex,面料：90%尼龙 10%氨纶,zh
shell: 68% rayon 27% nylon 5% spandex,面料：68%人造丝 27%尼龙 5%氨纶,zh
shell: 55% linen 45% cotton,面料：55%亚麻 45%棉,zh
shell: 100% viscose,面料：100%粘胶,zh
shell: 100% lyocell,面料：100%莱赛尔,zh
shell: 80% cotton 20% recycled polyester,面料：80%棉 20%再生涤纶,zh
lining: 100% polyester,里布：100%涤纶,zh
lining: 100% cotton,里布：100%棉,zh
contrast: 95% cotton 5% spandex,配布：95%棉 5%氨纶,zh
rib: 97% cotton 3% spandex,罗纹：97%棉 3%氨纶,zh
filling: 100% polyester,填充物：100%涤纶,zh
exclusive of decoration,装饰物除外,zh
exclusive of elastic,松紧部件除外,zh
exclusive of embroidery,绣花部分除外,zh
exclusive of coating,涂层除外,zh
contains non textile parts of animal origin,含有动物来源非纺织部件,zh
recycled polyester,再生涤纶,zh
better cotton,良好棉花,zh
garment washed finish,成衣洗效果,zh
peach finish,桃皮整理,zh
customer approved shade,客户确认色,zh
bulk fabric approved,大货面料已确认,zh
brand standard wash wording,品牌标准洗护文案,zh
