source,target,tgt_lng
trim,辅料,zh
zipper,拉链,zh
zipper puller,拉头,zh
zipper tape,拉链带,zh
snap,按扣,zh
button,纽扣,zh
buttonhole,扣眼,zh
drawcord,抽绳,zh
elastic,松紧带,zh
elastic band,松紧带,zh
buckle,扣具,zh
webbing,织带,zh
binding,包边,zh
self binding,本布包边,zh
neck tape,后领贴条,zh
shoulder tape,肩条,zh
twill tape,斜纹带,zh
topstitch,明线,zh
topstitching,明线车缝,zh
edge stitch,压边线,zh
bartack,打枣,zh
overlock,包缝,zh
overedge stitch,包缝线迹,zh
coverstitch,绷缝,zh
flatlock,四针六线,zh
lockstitch,平缝线迹,zh
chainstitch,链式线迹,zh
single needle,单针,zh
double needle,双针,zh
seam allowance,缝份,zh
seam tape,止口带,zh
seam finish,缝口处理,zh
facing,贴边,zh
placket facing,门襟贴边,zh
waistband facing,腰头贴边,zh
workmanship,做工,zh
hand feel,手感,zh
needle detector,验针,zh
construction,工艺要求,zh
needle count,针数,zh
stitch density,针距密度,zh
needle hole,针眼,zh
needle mark,针洞,zh
raw edge,毛边,zh
open seam,爆缝,zh
broken stitch,断线,zh
skip stitch,跳针,zh
seam puckering,起皱,zh
seam slippage,滑缝,zh
single needle stitch,单针线迹,zh
double needle stitch,双针线迹,zh
three needle coverstitch,三针绷缝,zh
four needle six thread,四针六线,zh
zigzag stitch,之字线迹,zh
blind hem stitch,暗缝线迹,zh
bar tack,打枣,zh
back tack,倒回针,zh
reinforcement stitch,加固线,zh
understitch,压里线,zh
stay stitch,固定线,zh
join seam,合缝,zh
close seam,合缝,zh
lap seam,搭缝,zh
flat felled seam,双折包缝,zh
french seam,来去缝,zh
welt seam,嵌线缝,zh
bound seam,包边缝,zh
cover seam,绷缝,zh
seam sealing,压胶,zh
heat taped seam,热压胶缝,zh
edge binding,边缘包边,zh
clean finish,光边处理,zh
turn back hem,折边下摆,zh
rolled hem,卷边,zh
narrow hem,窄边,zh
blind hem,暗缝下摆,zh
hem allowance,下摆缝份,zh
notch,剪口,zh
clip seam allowance,剪开缝份,zh
trim seam allowance,修剪缝份,zh
press seam open,烫开缝,zh
press seam to back,缝份烫向后片,zh
press seam to front,缝份烫向前片,zh
seam reinforcement,缝位加固,zh
stress point,受力点,zh
needle pitch,针距,zh
stitch length,针距,zh
thread tension,线张力,zh
single fold hem,单折下摆,zh
double fold hem,双折下摆,zh
baby hem,细卷边,zh
lettuce hem,波浪边,zh
raw edge finish,毛边处理,zh
serged edge,拷边,zh
merrow edge,密拷边,zh
overlock seam,包缝缝,zh
safety stitch,安全线迹,zh
cover hem,绷缝下摆,zh
cover stitch hem,绷缝下摆,zh
binding finish,包边处理,zh
bias binding,斜裁包边,zh
self fabric facing,本布贴边,zh
clean finish neckline,领口光边处理,zh
turn and stitch,翻折车缝,zh
bagged lining,套里工艺,zh
fully lined,全里,zh
half lined,半里,zh
unlined,无里,zh
fused seam,粘合缝,zh
taped shoulder seam,肩缝贴带,zh
reinforced seam,加固缝,zh
bar tack reinforcement,打枣加固,zh
buttonhole stitch,扣眼线迹,zh
snap reinforcement,按扣加固,zh
gather stitch,抽褶线,zh
shirring stitch,抽皱线,zh
pleating,打褶,zh
knife pleating,单向打褶,zh
edge topstitch,边线明线,zh
double topstitch,双明线,zh
contrast stitching,撞色线迹,zh
tonal stitching,同色线迹,zh
thread matching,线色匹配,zh
sew on label,车缝唛标,zh
heat press,热压,zh
ultrasonic welding,超声波焊接,zh
bonded seam,贴合缝,zh
mock safety stitch,仿安全线迹,zh
five thread overlock,五线包缝,zh
three thread overlock,三线包缝,zh
four thread overlock,四线包缝,zh
edgestitch,压边线,zh
stitch in ditch,落坑车缝,zh
stay tape shoulder,肩缝贴稳定带,zh
reinforce stress points,加固受力点,zh
bartack pocket opening,袋口打枣,zh
bartack at pocket,袋位打枣,zh
backstitch,倒针,zh
overlock raw edge,毛边包缝,zh
bind armhole,袖窿包边,zh
bind neckline,领口包边,zh
attach collar,上领,zh
set collar,装领,zh
attach cuff,上袖口,zh
set sleeve,装袖,zh
ease sleeve cap,吃袖山,zh
close side seams,合侧缝,zh
join shoulder seams,合肩缝,zh
attach waistband,上腰头,zh
insert elastic,穿松紧,zh
thread drawcord,穿抽绳,zh
set zipper,装拉链,zh
attach zipper,上拉链,zh
sew buttonhole,开扣眼,zh
sew button,钉扣,zh
attach snap,打四合扣,zh
apply interlining,贴衬,zh
fuse interlining,粘衬,zh
block fusing,整片粘衬,zh
tack label,固定唛标,zh
secure thread ends,锁住线头,zh
trim loose threads,剪净线头,zh
press flat,烫平,zh
final pressing,最终整烫,zh
seam allowance pressed open,缝份烫开,zh
seam allowance overlocked,缝份包缝,zh
blindstitch hem,暗缝下摆,zh
topstitch around neckline,领圈明线,zh
topstitch around armhole,袖窿明线,zh
edge stitch placket,门襟压边线,zh
bar tack belt loop,裤袢打枣,zh
