source,target,tgt_lng
approved sample,确认样,zh
proto sample,初样,zh
fit sample,试身样,zh
counter sample,对等样,zh
pp sample,产前样,zh
pre-production sample,产前样,zh
size set sample,尺码套样,zh
sales sample,销售样,zh
shipment sample,船样,zh
bulk production,大货生产,zh
bulk fabric,大货面料,zh
bulk trim,大货辅料,zh
pilot run,试产,zh
defect,疵点,zh
critical defect,严重疵点,zh
major defect,重疵,zh
minor defect,轻疵,zh
stain,污渍,zh
oil stain,油渍,zh
dirt mark,脏污,zh
shade band,色差带,zh
shade variation,色差,zh
color fastness,色牢度,zh
crocking,摩擦色牢度,zh
pilling,起球,zh
snagging,勾丝,zh
shrinkage,缩水率,zh
dimensional stability,尺寸稳定性,zh
twisting,扭曲,zh
skewing,扭斜,zh
torque,扭转,zh
gsm,克重,zh
fabric weight,克重,zh
bowing,弓纬,zh
hole,破洞,zh
misprint,印花不良,zh
print registration,对花位,zh
color matching,对色,zh
measurement check,尺寸复核,zh
visual inspection,外观检查,zh
aql,AQL抽检标准,zh
quality control,质量控制,zh
quality assurance,质量保证,zh
inspection report,检验报告,zh
pass,合格,zh
fail,不合格,zh
rework,返工,zh
repairable,可修复,zh
non repairable,不可修复,zh
needle detector test,验针测试,zh
open stitch,开线,zh
loose thread,线头,zh
untrimmed thread,未剪线头,zh
uneven stitch,线迹不均,zh
crooked stitch,线迹歪斜,zh
needle damage,针伤,zh
fabric damage,面料损伤,zh
abrasion,磨损,zh
color bleeding,串色,zh
color transfer,沾色,zh
dye stain,染色污渍,zh
print crack,印花开裂,zh
print peeling,印花脱落,zh
embroidery loose thread,绣花线头松脱,zh
missing stitch,漏针,zh
missing button,少扣,zh
wrong label,错唛,zh
wrong size label,错尺码唛,zh
wrong care label,错洗唛,zh
wrong color,颜色错误,zh
wrong size,尺码错误,zh
mixed size,混码,zh
measurement out of tolerance,尺寸超公差,zh
uneven hem,下摆不平,zh
twisted leg,裤腿扭斜,zh
twisted sleeve,袖子扭斜,zh
poor pressing,整烫不良,zh
shiny mark,烫亮痕,zh
seam opening,缝口开裂,zh
fraying,散口,zh
pilling grade,起球等级,zh
color shade lot,色差缸号,zh
shade continuity,色差连续性,zh
appearance defect,外观疵点,zh
workmanship defect,工艺疵点,zh
packing defect,包装疵点,zh
labeling defect,标识疵点,zh
critical measurement,关键尺寸,zh
measurement discrepancy,尺寸差异,zh
uneven color,颜色不均,zh
color difference,色差,zh
off shade,色光偏差,zh
wrong shade,色号错误,zh
shade mismatch,色差不匹配,zh
fabric flaw,布疵,zh
yarn defect,纱疵,zh
missing yarn,缺纱,zh
broken yarn,断纱,zh
thick yarn,粗纱,zh
barre,横档,zh
needle line,针路,zh
drop stitch,漏针,zh
broken seam,爆缝,zh
seam burst,爆缝,zh
zipper not functioning,拉链不顺,zh
uneven collar,领子不平,zh
collar twisted,领子扭斜,zh
