source,target,tgt_lng
care label,洗唛,zh
main label,主唛,zh
size label,尺码唛,zh
country of origin label,产地唛,zh
composition label,成分唛,zh
hang tag,吊牌,zh
washing instruction,洗涤说明,zh
machine wash cold,冷水机洗,zh
machine wash warm,温水机洗,zh
machine wash hot,热水机洗,zh
hand wash cold,冷水手洗,zh
do not wash,不可水洗,zh
wash separately,分开洗涤,zh
wash with like colors,与同色衣物一起洗涤,zh
wash inside out,反面洗涤,zh
use mild detergent,使用中性洗涤剂,zh
do not soak,不可浸泡,zh
do not bleach,不可漂白,zh
non chlorine bleach only,仅可使用非氯漂白剂,zh
tumble dry low,低温滚筒烘干,zh
tumble dry medium,中温滚筒烘干,zh
tumble dry high,高温滚筒烘干,zh
do not tumble dry,不可滚筒烘干,zh
line dry,悬挂晾干,zh
line dry in shade,阴凉悬挂晾干,zh
flat dry,平摊晾干,zh
drip dry,滴干晾干,zh
do not wring,不可拧干,zh
cool iron,低温熨烫,zh
warm iron,中温熨烫,zh
hot iron,高温熨烫,zh
do not iron,不可熨烫,zh
iron on reverse side,反面熨烫,zh
steam iron,蒸汽熨烫,zh
do not steam,不可蒸汽熨烫,zh
dry clean only,只可干洗,zh
do not dry clean,不可干洗,zh
professional wet clean,专业湿洗,zh
do not wet clean,不可专业湿洗,zh
remove promptly,及时取出,zh
dry away from direct sunlight,避免阳光直晒,zh
reshape while damp,湿态整形,zh
keep away from fire,远离火源,zh
wash at 30 degrees,30 度水洗,zh
wash at 40 degrees,40 度水洗,zh
maximum wash temperature,最高洗涤温度,zh
permanent press cycle,免烫程序,zh
synthetic cycle,化纤洗程序,zh
delicate wash,轻柔洗涤,zh
do not hand wring,不可手拧,zh
dry flat in shade,阴凉平摊晾干,zh
hang dry,悬挂晾干,zh
dry in shade,阴凉处晾干,zh
line dry only,仅可悬挂晾干,zh
do not line dry,不可悬挂晾干,zh
do not dry in the sun,不可日晒晾干,zh
iron low heat,低温熨烫,zh
iron medium heat,中温熨烫,zh
