source,target,tgt_lng
collar,领子,zh
collar stand,领座,zh
neckband,领圈,zh
rib neckband,罗纹领,zh
mock neck,半高领,zh
turtleneck,高领,zh
crew neck,圆领,zh
v-neck,V领,zh
hood,帽子,zh
hood opening,帽口,zh
hood depth,帽深,zh
hood height,帽高,zh
shoulder seam,肩缝,zh
shoulder point,肩点,zh
yoke,过肩,zh
back yoke,后过肩,zh
front yoke,前过肩,zh
armhole,袖窿,zh
armscye,袖窿,zh
raglan sleeve,插肩袖,zh
set-in sleeve,装袖,zh
sleeve cap,袖山,zh
cuff,袖口,zh
sleeve opening,袖口开口,zh
sleeve hem,袖口下摆,zh
placket,门襟,zh
front placket,前门襟,zh
back placket,后门襟,zh
button stand,门襟,zh
zipper guard,拉链挡片,zh
storm flap,挡风片,zh
chin guard,护嘴片,zh
waistband,腰头,zh
fly,门襟拉链位,zh
gusset,裆片,zh
crotch seam,裆缝,zh
side seam,侧缝,zh
inseam pocket,侧缝插袋,zh
patch pocket,贴袋,zh
welt pocket,嵌线袋,zh
flap pocket,袋盖袋,zh
cargo pocket,工装袋,zh
back pocket,后袋,zh
coin pocket,零钱袋,zh
pocket opening,袋口,zh
hem,下摆,zh
sweep,下摆围,zh
bottom opening,脚口,zh
leg opening,脚口,zh
vent,开衩,zh
side slit,侧开衩,zh
center front,前中,zh
center back,后中,zh
front neck,前领口,zh
back neck,后领口,zh
neckline,领口,zh
spec sheet,尺寸表,zh
tech pack,工艺单,zh
fit comment,版型评语,zh
point of measurement,测量点,zh
pom,测量点,zh
measurement tolerance,尺寸公差,zh
plus minus tolerance,正负公差,zh
body length,衣长,zh
center back length,后中衣长,zh
center front length,前中衣长,zh
high point shoulder,肩颈点,zh
hps,肩颈点,zh
hps to hem,肩颈点到下摆,zh
snp to hem,肩颈点到下摆,zh
shoulder width,肩宽,zh
across shoulder,肩宽,zh
across chest,胸宽,zh
across back,后背宽,zh
chest,胸围,zh
1/2 chest,半胸围,zh
bust,胸围,zh
waist,腰围,zh
1/2 waist,半腰围,zh
hip,臀围,zh
1/2 hip,半臀围,zh
bottom sweep,下摆围,zh
sleeve length,袖长,zh
short sleeve length,短袖长,zh
long sleeve length,长袖长,zh
bicep,袖肥,zh
bicep width,袖肥,zh
cuff opening,袖口围,zh
armhole straight,直量袖窿,zh
front rise,前裆长,zh
back rise,后裆长,zh
rise,裆长,zh
inseam,内长,zh
outseam,外长,zh
thigh,大腿围,zh
knee,膝围,zh
front neck drop,前领深,zh
back neck drop,后领深,zh
neck width,领宽,zh
waist relaxed,松量腰围,zh
waist stretched,拉量腰围,zh
cf neck drop,前中领深,zh
cb length,后中长,zh
pit to pit,胸宽,zh
spi,每英寸针数,zh
bom,物料清单,zh
w/b,腰头,zh
shell fabric,面料,zh
self fabric,本布,zh
contrast fabric,配布,zh
lining,里布,zh
interlining,衬布,zh
fusible interlining,粘合衬,zh
non-fusible interlining,非粘合衬,zh
rib,罗纹,zh
jersey,平纹针织布,zh
interlock,双面布,zh
pique,珠地布,zh
french terry,毛圈布,zh
terry,毛圈布,zh
fleece,抓绒,zh
sherpa,羊羔绒,zh
mesh,网布,zh
woven,梭织布,zh
knit,针织布,zh
twill,斜纹布,zh
satin,缎布,zh
canvas,帆布,zh
poplin,府绸,zh
oxford,牛津布,zh
chambray,色织青年布,zh
denim,牛仔布,zh
corduroy,灯芯绒,zh
ripstop,防撕裂布,zh
cotton,棉,zh
organic cotton,有机棉,zh
recycled cotton,再生棉,zh
polyester,涤纶,zh
recycled polyester,再生涤纶,zh
nylon,尼龙,zh
polyamide,锦纶,zh
rayon,人造丝,zh
viscose,粘胶,zh
modal,莫代尔,zh
lyocell,莱赛尔,zh
acetate,醋酯纤维,zh
acrylic,腈纶,zh
wool,羊毛,zh
merino wool,美丽诺羊毛,zh
cashmere,羊绒,zh
alpaca,羊驼毛,zh
mohair,马海毛,zh
linen,亚麻,zh
hemp,麻,zh
silk,丝绸,zh
spandex,氨纶,zh
elastane,氨纶,zh
down,羽绒,zh
feather,羽毛,zh
leather,皮革,zh
faux leather,人造革,zh
faux fur,人造毛皮,zh
nonwoven,无纺布,zh
laminated fabric,复合面料,zh
padding,填充物,zh
quilted,绗缝,zh
tpu membrane,TPU膜,zh
pu coating,PU涂层,zh
trim,辅料,zh
zipper,拉链,zh
zipper puller,拉头,zh
zipper tape,拉链带,zh
snap,按扣,zh
button,纽扣,zh
buttonhole,扣眼,zh
drawcord,抽绳,zh
elastic,松紧带,zh
elastic band,松紧带,zh
buckle,扣具,zh
webbing,织带,zh
binding,包边,zh
self binding,本布包边,zh
neck tape,后领贴条,zh
shoulder tape,肩条,zh
twill tape,斜纹带,zh
topstitch,明线,zh
topstitching,明线车缝,zh
edge stitch,压边线,zh
bartack,打枣,zh
overlock,包缝,zh
overedge stitch,包缝线迹,zh
coverstitch,绷缝,zh
flatlock,四针六线,zh
lockstitch,平缝线迹,zh
chainstitch,链式线迹,zh
single needle,单针,zh
double needle,双针,zh
seam allowance,缝份,zh
seam tape,止口带,zh
seam finish,缝口处理,zh
facing,贴边,zh
placket facing,门襟贴边,zh
waistband facing,腰头贴边,zh
workmanship,做工,zh
hand feel,手感,zh
needle detector,验针,zh
construction,工艺要求,zh
needle count,针数,zh
stitch density,针距密度,zh
needle hole,针眼,zh
needle mark,针洞,zh
raw edge,毛边,zh
open seam,爆缝,zh
broken stitch,断线,zh
skip stitch,跳针,zh
seam puckering,起皱,zh
seam slippage,滑缝,zh
approved sample,确认样,zh
proto sample,初样,zh
fit sample,试身样,zh
counter sample,对等样,zh
pp sample,产前样,zh
pre-production sample,产前样,zh
size set sample,尺码套样,zh
sales sample,销售样,zh
shipment sample,船样,zh
bulk production,大货生产,zh
bulk fabric,大货面料,zh
bulk trim,大货辅料,zh
pilot run,试产,zh
defect,疵点,zh
critical defect,严重疵点,zh
major defect,重疵,zh
minor defect,轻疵,zh
stain,污渍,zh
oil stain,油渍,zh
dirt mark,脏污,zh
shade band,色差带,zh
shade variation,色差,zh
color fastness,色牢度,zh
crocking,摩擦色牢度,zh
pilling,起球,zh
snagging,勾丝,zh
shrinkage,缩水率,zh
dimensional stability,尺寸稳定性,zh
twisting,扭曲,zh
skewing,扭斜,zh
torque,扭转,zh
gsm,克重,zh
fabric weight,克重,zh
bowing,弓纬,zh
hole,破洞,zh
misprint,印花不良,zh
print registration,对花位,zh
color matching,对色,zh
measurement check,尺寸复核,zh
visual inspection,外观检查,zh
aql,AQL抽检标准,zh
quality control,质量控制,zh
quality assurance,质量保证,zh
inspection report,检验报告,zh
pass,合格,zh
fail,不合格,zh
rework,返工,zh
repairable,可修复,zh
non repairable,不可修复,zh
needle detector test,验针测试,zh
care label,洗唛,zh
main label,主唛,zh
size label,尺码唛,zh
country of origin label,产地唛,zh
composition label,成分唛,zh
hang tag,吊牌,zh
washing instruction,洗涤说明,zh
machine wash cold,冷水机洗,zh
machine wash warm,温水机洗,zh
machine wash hot,热水机洗,zh
hand wash cold,冷水手洗,zh
do not wash,不可水洗,zh
wash separately,分开洗涤,zh
wash with like colors,与同色衣物一起洗涤,zh
wash inside out,反面洗涤,zh
use mild detergent,使用中性洗涤剂,zh
do not soak,不可浸泡,zh
do not bleach,不可漂白,zh
non chlorine bleach only,仅可使用非氯漂白剂,zh
